model,train_data,train_augmentation,test_data,test_augmentation,epoch,best,0 precision,0 recall,0 f1-score,0 support,1 precision,1 recall,1 f1-score,1 support,auc
DNSteerableLeNet,MBFRUncertain,rotation and flipping,MBFRUncertain,rotation and flipping,20,True,0.5506224066390042,0.5308,0.5405295315682281,2500,0.5289156626506024,0.54875,0.5386503067484663,2400,0.4874588333333334
DNSteerableLeNet,MBFRUncertain,rotation and flipping,MBFRUncertain,random rotation,20,True,0.566606170598911,0.6244,0.5941008563273072,2500,0.5622377622377622,0.5025,0.5306930693069306,2400,0.5891526666666667
DNSteerableLeNet,MBFRUncertain,rotation and flipping,MBFRUncertain,restricted random rotation,20,True,0.5551643192488263,0.5676,0.5613132911392406,2500,0.5388225255972696,0.52625,0.5324620573355818,2400,0.5215974999999999
DNSteerableLeNet,MBFRUncertain,rotation and flipping,MLFR,rotation and flipping,20,True,0.8071583060071165,0.6427222222222222,0.7156156249033495,18000,0.37362423297944874,0.5812121212121212,0.45485267089583215,6600,0.5884191498316499
DNSteerableLeNet,MBFRUncertain,rotation and flipping,MLFR,random rotation,20,True,0.7905127310777816,0.6295555555555555,0.7009123241070048,18000,0.3504140282513395,0.545,0.42656388971242215,6600,0.5765178872053872
DNSteerableLeNet,MBFRUncertain,rotation and flipping,MLFR,restricted random rotation,20,True,0.8078821206993796,0.6366111111111111,0.7120929654486701,18000,0.37202380952380953,0.5871212121212122,0.4554536906440997,6600,0.5984530934343435
DNSteerableLeNet,MLFR,rotation and flipping,MBFRUncertain,rotation and flipping,19,True,0.5491731940818103,0.7572,0.6366235076509165,2500,0.5822436338609773,0.3525,0.43913833376589667,2400,0.5816511666666666
DNSteerableLeNet,MLFR,rotation and flipping,MBFRUncertain,random rotation,19,True,0.5471024443834112,0.7968,0.6487542745481192,2500,0.596505162827641,0.3129166666666667,0.4104946706750478,2400,0.5793090000000001
DNSteerableLeNet,MLFR,rotation and flipping,MBFRUncertain,restricted random rotation,19,True,0.5580395528804815,0.7788,0.6501920187009518,2500,0.6080793763288448,0.3575,0.4502755182366833,2400,0.5834545833333333
DNSteerableLeNet,MLFR,rotation and flipping,MLFR,rotation and flipping,19,True,0.8241802862653538,0.9021111111111111,0.8613866638374621,18000,0.6402613311555737,0.47515151515151516,0.5454861715080883,6600,0.8577994444444443
DNSteerableLeNet,MLFR,rotation and flipping,MLFR,random rotation,19,True,0.8227092632529214,0.9113333333333333,0.8647565829357652,18000,0.657584209397125,0.4643939393939394,0.5443566290737946,6600,0.8260912626262628
DNSteerableLeNet,MLFR,rotation and flipping,MLFR,restricted random rotation,19,True,0.8248131239652837,0.9133888888888889,0.8668441726201461,18000,0.6659524319691451,0.4709090909090909,0.5516996538563947,6600,0.8589046338383838
